Date,langCode,pageviews
2018-01-02,pl,1812020
2018-01-02,pt,1582077
2018-01-02,ro,85642
2018-01-02,ru,532534
2018-01-02,simple,76521
2018-01-02,sv,330222
2018-01-02,uk,67883
2018-01-02,zh,1839910
2018-01-03,ar,95286
2018-01-03,cs,548538
2018-01-03,da,82275
2018-01-03,de,7274965
2018-01-03,en,72931144
2018-01-03,es,2740648
2018-01-03,fi,95428
2018-01-03,fr,4424912
2018-01-03,he,98952
2018-01-03,hi,252416
2018-01-03,hu,124149
2018-01-03,id,464858
2018-01-03,it,6548798
2018-01-03,ja,16249836
2018-01-03,ko,206787
2018-01-03,nl,611995
2018-01-03,no,83140
2018-01-03,pl,1631484
2018-01-03,pt,1484660
2018-01-03,ro,71564
2018-01-03,ru,401093
2018-01-03,simple,74285
2018-01-03,sv,401281
2018-01-03,uk,51903
2018-01-03,zh,1676498
2018-01-04,ar,96632
2018-01-04,cs,357093
2018-01-04,da,81833
2018-01-04,de,6977700
2018-01-04,en,73682004
2018-01-04,es,2736294
2018-01-04,fi,97042
2018-01-04,fr,4868324
2018-01-04,he,104502
2018-01-04,hi,200475
2018-01-04,hu,128788
2018-01-04,id,533504
2018-01-04,it,6168791
2018-01-04,ja,14430442
2018-01-04,ko,243541
2018-01-04,nl,545202
2018-01-04,no,63722
2018-01-04,pl,1598948
2018-01-04,pt,1423061
2018-01-04,ro,53054
2018-01-04,ru,393242
2018-01-04,simple,73497
2018-01-04,sv,355951
2018-01-04,uk,59190
2018-01-04,zh,1769421
2018-01-05,ar,119702
2018-01-05,cs,373210
2018-01-05,da,109405
2018-01-05,de,6866016
2018-01-05,en,74112922
2018-01-05,es,2615132
2018-01-05,fi,131517
2018-01-05,fr,4329603
2018-01-05,he,107258
2018-01-05,hi,172844
2018-01-05,hu,170099
2018-01-05,id,538063
2018-01-05,it,6023423
2018-01-05,ja,15233555
2018-01-05,ko,209636
2018-01-05,nl,594507
2018-01-05,no,136880
2018-01-05,pl,1107312
2018-01-05,pt,1284398
2018-01-05,ro,78853
2018-01-05,ru,384993
2018-01-05,simple,73487
2018-01-05,sv,687330
2018-01-05,uk,62726
2018-01-05,zh,1771119
2018-01-06,ar,158776
2018-01-06,cs,376709
2018-01-06,da,191338
2018-01-06,de,8012019
2018-01-06,en,76549779
2018-01-06,es,3097581
2018-01-06,fi,300239
2018-01-06,fr,5018834
2018-01-06,he,159671
2018-01-06,hi,148519
2018-01-06,hu,207989
2018-01-06,id,422871
2018-01-06,it,6905412
2018-01-06,ja,15348069
2018-01-06,ko,294548
2018-01-06,nl,642541
2018-01-06,no,144753
2018-01-06,pl,2632554
2018-01-06,pt,1441726
2018-01-06,ro,68105
2018-01-06,ru,460398
2018-01-06,simple,59321
2018-01-06,sv,587764
2018-01-06,uk,97340
2018-01-06,zh,2520903
2018-01-07,ar,192839
2018-01-07,cs,545269
2018-01-07,da,190545
2018-01-07,de,9208350
2018-01-07,en,85960467
2018-01-07,es,3450297
2018-01-07,fi,147069
2018-01-07,fr,8020644
2018-01-07,he,133648
2018-01-07,hi,178047
2018-01-07,hu,191409
2018-01-07,id,474396
2018-01-07,it,8093935
2018-01-07,ja,17696206
2018-01-07,ko,289090
2018-01-07,nl,720607
2018-01-07,no,129955
2018-01-07,pl,2023121
2018-01-07,pt,1895388
2018-01-07,ro,82766
2018-01-07,ru,526744
2018-01-07,simple,73296
2018-01-07,sv,499472
2018-01-07,uk,82961
2018-01-07,zh,2648738
2018-01-08,ar,169800
2018-01-08,cs,343973
2018-01-08,da,102343
2018-01-08,de,7408317
2018-01-08,en,89274622
2018-01-08,es,4433777
2018-01-08,fi,124931
2018-01-08,fr,5260471
2018-01-08,he,140909
2018-01-08,hi,186726
2018-01-08,hu,172155
2018-01-08,id,663864
2018-01-08,it,7135636
2018-01-08,ja,18926428
2018-01-08,ko,261042
2018-01-08,nl,609656
2018-01-08,no,80386
2018-01-08,pl,1496874
2018-01-08,pt,1792838
2018-01-08,ro,79126
2018-01-08,ru,489155
2018-01-08,simple,76293
2018-01-08,sv,272391
2018-01-08,uk,50855
2018-01-08,zh,1945073
2018-01-09,ar,190604
2018-01-09,cs,371759
2018-01-09,da,91598
2018-01-09,de,7021271
2018-01-09,en,78195739
2018-01-09,es,4659041
2018-01-09,fi,154527
2018-01-09,fr,4383761
2018-01-09,he,149260
2018-01-09,hi,223698
2018-01-09,hu,160006
2018-01-09,id,882774
2018-01-09,it,6004655
2018-01-09,ja,14531859
2018-01-09,ko,365095
2018-01-09,nl,539151
2018-01-09,no,74789
2018-01-09,pl,1892681
2018-01-09,pt,1516952
2018-01-09,ro,118977
2018-01-09,ru,419523
